cases.0.project.project_id,cases.0.samples.0.sample_id,cases.0.submitter_id,file_id,file_name,id
TCGA-BRCA,7e598a8a-9fb8-4c2d-94e7-ae1921addcd1,TCGA-BH-A1F8,3ce988e2-61c5-4f53-b9c8-cfc280649c1f,8d2f240f-43c3-4e0d-a6cc-79f6b174dace.rna_seq.augmented_star_gene_counts.tsv,3ce988e2-61c5-4f53-b9c8-cfc280649c1f
TCGA-BRCA,96e71b7b-d32b-48bc-858d-20f7c8b7812d,TCGA-AC-A3HN,2e6baa15-85d7-43b0-8a89-a0dc169ae16a,c62cda08-6134-47c6-8796-9da0788d9717.rna_seq.augmented_star_gene_counts.tsv,2e6baa15-85d7-43b0-8a89-a0dc169ae16a
TCGA-BRCA,c2300b5b-43a7-43b8-8cd1-22ff7e89a21a,TCGA-B6-A0RT,08b0fe4c-ee3c-4510-b75a-6d240cb038cc,e5bcd6f9-680e-4d57-81f3-c8e6b40bb2af.rna_seq.augmented_star_gene_counts.tsv,08b0fe4c-ee3c-4510-b75a-6d240cb038cc
TCGA-BRCA,3de1ba17-00fc-462f-92a4-096e8112fd89,TCGA-A8-A08P,dbe79158-b616-4c7b-94d7-5f127b3013ff,2dc9eaca-6dfc-4e7f-a12b-1495986e1ad4.rna_seq.augmented_star_gene_counts.tsv,dbe79158-b616-4c7b-94d7-5f127b3013ff
TCGA-BRCA,c837bc65-d01d-4539-a5d4-6d9871b3bba4,TCGA-BH-A0HN,a436c52a-e63f-4d61-bc60-eb497c196489,ff0feb3e-6d14-4297-ac23-1eb397663ec3.rna_seq.augmented_star_gene_counts.tsv,a436c52a-e63f-4d61-bc60-eb497c196489
TCGA-BRCA,93a3fc8a-1b50-4da3-9dbb-cf9f582fc22e,TCGA-BH-A0H0,e4086c26-d200-4e42-8249-ed8cbeec0951,99d31369-3db2-4631-bc62-1aa6927476ad.rna_seq.augmented_star_gene_counts.tsv,e4086c26-d200-4e42-8249-ed8cbeec0951
TCGA-BRCA,50233285-5aef-412a-a225-3ed14eaa69d8,TCGA-BH-A18T,08837ae7-6f4f-4aa1-8722-7c404b66ed75,828c9648-f725-4d7e-ad37-e33692e2c67f.rna_seq.augmented_star_gene_counts.tsv,08837ae7-6f4f-4aa1-8722-7c404b66ed75
TCGA-BRCA,4a7c76a9-c3a2-4b57-a57a-de055152dcf8,TCGA-BH-A0H9,ad4b2d76-b4bb-457d-903f-823630a4d37b,0940092b-46da-4975-bde7-f205fe12707b.rna_seq.augmented_star_gene_counts.tsv,ad4b2d76-b4bb-457d-903f-823630a4d37b
TCGA-BRCA,2b795cb0-4f14-4312-b96b-4adfbf9f4124,TCGA-E2-A14S,1f9a9190-4157-457e-9794-a9217d2aa2f8,cf4160bb-9ef4-43c1-ac83-f6ca897101ee.rna_seq.augmented_star_gene_counts.tsv,1f9a9190-4157-457e-9794-a9217d2aa2f8
TCGA-BRCA,f0cf4acd-6b09-4538-b58c-e86c623b6c71,TCGA-A7-A26G,cd417f4e-c065-4e73-a7c7-955b2fe71add,d05914c2-e76a-4050-b0bf-db3a08c1892e.rna_seq.augmented_star_gene_counts.tsv,cd417f4e-c065-4e73-a7c7-955b2fe71add
TCGA-BRCA,ad431126-be1f-483f-9333-fa30b2354f43,TCGA-W8-A86G,90cb5f76-ec86-4532-8352-e6622ef24980,01900aab-4c12-4198-b41f-ff638e5abe3b.rna_seq.augmented_star_gene_counts.tsv,90cb5f76-ec86-4532-8352-e6622ef24980
TCGA-BRCA,5ac66414-2c9e-45d0-837a-f620898a86e0,TCGA-B6-A0IH,c71bfebf-e152-4706-bd72-07103f936a85,b35a11fb-548c-4b6c-99e7-c4114be6411a.rna_seq.augmented_star_gene_counts.tsv,c71bfebf-e152-4706-bd72-07103f936a85
TCGA-BRCA,cc3a7053-34f6-412f-85b8-de4c8b481d7e,TCGA-E2-A574,ef227e3c-7a6d-4c43-945f-c1c7b410d50b,dbb2f12c-e200-412a-9023-0126d6d69a52.rna_seq.augmented_star_gene_counts.tsv,ef227e3c-7a6d-4c43-945f-c1c7b410d50b
TCGA-BRCA,6bfd7e43-77e4-4666-9b28-c5d4cdcd6ad7,TCGA-A1-A0SG,76367cee-b571-49e5-8121-9e69f906c230,370e6381-c31a-475b-b2c7-2c5de9e2c8ec.rna_seq.augmented_star_gene_counts.tsv,76367cee-b571-49e5-8121-9e69f906c230
TCGA-BRCA,0c8df249-80de-4675-93e5-d06ad8ea3001,TCGA-AO-A0J9,537ec810-35bc-47d8-8242-72ef91cd63e0,3ee530ee-274d-44de-9793-a75433ddf938.rna_seq.augmented_star_gene_counts.tsv,537ec810-35bc-47d8-8242-72ef91cd63e0
TCGA-BRCA,401d075c-d443-4592-8c03-e675caad2b50,TCGA-A2-A3KD,5599b7dd-7c2a-4037-ad77-11a0b4ddcb54,6cbfdf8b-fd71-4b6a-b360-1573ee5241a1.rna_seq.augmented_star_gene_counts.tsv,5599b7dd-7c2a-4037-ad77-11a0b4ddcb54
TCGA-BRCA,ca263104-9c70-4b9f-95d1-7a886587eebd,TCGA-C8-A1HK,2040d4e4-0ecb-4081-9478-9d2707833a1b,10376443-40df-451a-91e5-6be34850558c.rna_seq.augmented_star_gene_counts.tsv,2040d4e4-0ecb-4081-9478-9d2707833a1b
TCGA-BRCA,bf055644-7bca-43b6-8f5a-e21c42f7cf88,TCGA-EW-A1P8,c15e9ead-0373-486e-a99b-26b96bd3ccc4,27c65ed6-9e9d-4a9d-9b6f-76d2a12f7699.rna_seq.augmented_star_gene_counts.tsv,c15e9ead-0373-486e-a99b-26b96bd3ccc4
TCGA-BRCA,481cdbff-1f84-4508-ad9f-21a61009d68a,TCGA-BH-A0B4,280141da-fd54-4901-bc15-5d106c56fb23,aad82145-5742-4ef6-9de3-2c57e84642fc.rna_seq.augmented_star_gene_counts.tsv,280141da-fd54-4901-bc15-5d106c56fb23
TCGA-BRCA,79af2c1a-1da2-4207-8ce8-b5d3d418066d,TCGA-AO-A03M,81f86e31-55db-4483-b6e0-55451ffbd1db,a31cd337-8f1a-451d-9b90-b722590d3105.rna_seq.augmented_star_gene_counts.tsv,81f86e31-55db-4483-b6e0-55451ffbd1db
TCGA-BRCA,b22a4adb-8d8a-490a-a6f4-cc091b41f56f,TCGA-EW-A424,845def46-3502-40a8-aff1-8d021906cee5,4abffa72-e45a-405a-b53b-73900d48253d.rna_seq.augmented_star_gene_counts.tsv,845def46-3502-40a8-aff1-8d021906cee5
TCGA-BRCA,e11dab7d-dc9c-416c-8200-ebdf8a64e3ea,TCGA-BH-A0BL,8a7fe670-bcef-4fcb-9759-9892ff5f4f61,a7428d3b-f84b-4c2f-a996-14a11af6b6df.rna_seq.augmented_star_gene_counts.tsv,8a7fe670-bcef-4fcb-9759-9892ff5f4f61
TCGA-BRCA,1142b1cf-ebf3-485b-aae2-dcf4d8793212,TCGA-BH-A0GZ,1c74a1ed-8000-4dc0-970f-03831ca5e167,9935bf3a-de25-401c-bf1b-5225a62b24f7.rna_seq.augmented_star_gene_counts.tsv,1c74a1ed-8000-4dc0-970f-03831ca5e167
TCGA-BRCA,8867f07e-0993-4c9a-96df-18e24801ba80,TCGA-C8-A12Q,2faa9332-e577-4884-94e4-b895827db8b6,8b5be676-9118-4038-9d54-6b80b14e43dc.rna_seq.augmented_star_gene_counts.tsv,2faa9332-e577-4884-94e4-b895827db8b6
